Title,Published_date,Likes,Views
"I Gave My 6,000,000th Subscriber 6,000,000 ____",2018-07-25,395530,17724633
"Can 1,000 Fans At Max Speed Push A Car?",2018-07-17,622602,28797141
"I Donated $50,000 To Ninja - Fortnite",2018-07-14,2150708,98324382
I Ubered Random People In A Tank,2018-07-11,867080,30182210
World's Hottest Substance Vs Coldest Substance,2018-06-30,1775381,96102388
The Real Way Dinosaurs Went Extinct,2018-06-28,803810,29353268
I Donated $1000 Every Time She Blinked - Fortnite Streamers,2018-06-24,641384,21849538
I Built A Working Car Using Only LEGOS,2018-06-23,1657048,75209914
Do Water Repellent Shoes Actually Work?,2018-06-22,2002594,131758705
"We Drove 3,000 Miles For The World's Best Burger",2018-06-09,1224749,54708590
"I Gave My 5,000,000th Subscriber 5,000,000 ______",2018-06-08,293622,11341739
I Made Money Grow On Trees,2018-06-01,432948,17363318
I Took Apart My Friends Car And Put It In His Room,2018-05-25,316675,15892892
How Many Rubber Bands Does It Take To Snap A Safe?,2018-05-22,916228,37355293
Pulling Cars Over Using A Toy Police Car,2018-05-13,545202,24753238
"I Gave $500,000 To Random People",2018-05-11,453787,15199414
How Many Toy Cars Does It Take To Pull A Real Car?,2018-05-04,763656,41287764
"I Gave $20,000 To People From An Ice Cream Truck",2018-05-02,348125,14792162
$10000 Ice Sculpture Vs Flame,2018-05-01,505488,23892524
"Can 1,000 Rolls Of Duct Tape Stop A Car??",2018-04-30,548531,26972114
Winning A Game Of Fortnite In The Middle Of The Ocean,2018-04-25,784165,31481222
I Flew Using Only Balloons AND Leaf Blowers,2018-04-23,655350,32802533
"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",2018-04-21,631783,24557676
Destroying My Friend's Car And Surprising Him With A New One,2018-04-13,628382,39184566
Walking Up To Random People With 100 StormTroopers,2018-04-11,502501,19956267
"I Donated $10,000 If They Said This Word (Twitch Streamers)",2018-04-04,555872,20114609
"Giving My 4,000,000th Subscriber 4,000,000 Cookies",2018-04-02,343499,13368760
"I Tipped Waitresses $20,000",2018-03-30,355823,14956906
Walking Into Random Stores With 100 Dinosaurs,2018-03-22,896379,33563815
I Built A Mansion Using Only Cardboard Boxes,2018-03-20,576018,25852522
